NumThreads,Estrategia,Tiempo
2,Reduction,0.002746
2,Critical,0.035937
2,Ordered,0.009268
2,Reduction,0.002756
2,Critical,0.048392
2,Ordered,0.008527
2,Reduction,0.002887
2,Critical,0.035108
2,Ordered,0.008449
2,Reduction,0.002750
2,Critical,0.034867
2,Ordered,0.008482
2,Reduction,0.002745
2,Critical,0.037190
2,Ordered,0.008698
2,Reduction,0.002753
2,Critical,0.035000
2,Ordered,0.008826
2,Reduction,0.002789
2,Critical,0.036159
2,Ordered,0.008802
2,Reduction,0.002792
2,Critical,0.035083
2,Ordered,0.008532
2,Reduction,0.002954
2,Critical,0.038811
2,Ordered,0.008446
2,Reduction,0.003487
2,Critical,0.049592
2,Ordered,0.008605
2,Reduction,0.002768
2,Critical,0.035287
2,Ordered,0.008607
2,Reduction,0.002748
2,Critical,0.037491
2,Ordered,0.008557
2,Reduction,0.002749
2,Critical,0.039566
2,Ordered,0.008614
2,Reduction,0.002748
2,Critical,0.035866
2,Ordered,0.008482
2,Reduction,0.002769
2,Critical,0.034802
2,Ordered,0.008565
2,Reduction,0.003367
2,Critical,0.039730
2,Ordered,0.008523
2,Reduction,0.002749
2,Critical,0.039471
2,Ordered,0.009005
3,Reduction,0.002000
3,Critical,0.059041
3,Ordered,0.008672
3,Reduction,0.001883
3,Critical,0.059839
3,Ordered,0.008933
3,Reduction,0.001884
3,Critical,0.057926
3,Ordered,0.008668
3,Reduction,0.001897
3,Critical,0.058375
3,Ordered,0.008666
3,Reduction,0.001951
3,Critical,0.058574
3,Ordered,0.008708
3,Reduction,0.002054
3,Critical,0.058454
3,Ordered,0.008819
3,Reduction,0.001881
3,Critical,0.058399
3,Ordered,0.008909
3,Reduction,0.001889
3,Critical,0.058620
3,Ordered,0.008576
3,Reduction,0.001928
3,Critical,0.058205
3,Ordered,0.008634
3,Reduction,0.001897
3,Critical,0.058164
3,Ordered,0.008767
3,Reduction,0.001878
3,Critical,0.058373
3,Ordered,0.008660
3,Reduction,0.001874
3,Critical,0.058442
3,Ordered,0.008666
3,Reduction,0.001916
